parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gate_count,final_total_gates,runtime,opt_chain
1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_10_r2/step_0_qiskit_standard/cheap_1_opt_efficient_su2_10_r2_qiskit_standard_step0_qiskit_standard.qasm,10,17,18,78,10,11,18,18,0.008640457992441952,efficient_su2_10_r2__qiskit_standard
1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_10_r2/step_0_tket/cheap_1_opt_efficient_su2_10_r2_tket_step0_tket.qasm,10,17,18,78,10,11,18,18,0.5905746660428122,efficient_su2_10_r2__tket
2,efficient_su2_12,2,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_12/step_0_qiskit_standard/cheap_1_opt_efficient_su2_12_qiskit_standard_step0_qiskit_standard.qasm,12,25,66,114,12,29,66,162,0.22123408305924386,efficient_su2_12__qiskit_standard
2,efficient_su2_12,2,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_12/step_0_tket/cheap_1_opt_efficient_su2_12_tket_step0_tket.qasm,12,25,66,114,12,29,66,162,1.0498143329750746,efficient_su2_12__tket
3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_12_r2/step_0_qiskit_standard/cheap_1_opt_efficient_su2_12_r2_qiskit_standard_step0_qiskit_standard.qasm,12,19,22,94,12,13,22,22,0.005118167027831078,efficient_su2_12_r2__qiskit_standard
3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_12_r2/step_0_tket/cheap_1_opt_efficient_su2_12_r2_tket_step0_tket.qasm,12,19,22,94,12,13,22,22,0.7240945000667125,efficient_su2_12_r2__tket
4,efficient_su2_16,4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_16/step_0_qiskit_standard/cheap_1_opt_efficient_su2_16_qiskit_standard_step0_qiskit_standard.qasm,16,33,120,184,16,37,120,248,0.017068709013983607,efficient_su2_16__qiskit_standard
4,efficient_su2_16,4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_16/step_0_tket/cheap_1_opt_efficient_su2_16_tket_step0_tket.qasm,16,33,120,184,16,37,120,248,1.4986608329927549,efficient_su2_16__tket
5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/efficient_su2_8/step_0_qiskit_standard/cheap_1_opt_efficient_su2_8_qiskit_standard_step0_qiskit_standard.qasm,8,27,56,104,8,33,56,152,0.005536000011488795,efficient_su2_8__qiskit_standard
5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/efficient_su2_8/step_0_tket/cheap_1_opt_efficient_su2_8_tket_step0_tket.qasm,8,27,56,104,8,33,56,152,0.7689013340277597,efficient_su2_8__tket
