,id,name,category,source,qasm_path,num_qubits,initial_depth,initial_two_qubit_gates,initial_two_qubit_depth,initial_total_gates,gate_density,two_qubit_ratio,created_at,optimizer_chain,original_circuit
0,1,efficient_su2_10_r2,efficient_su2,local,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,10,17,18,11,78,7.8,0.23076923076923078,2026-03-05 20:39:31,,efficient_su2_10_r2
1,2,efficient_su2_12,efficient_su2,local,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,12,25,66,21,114,9.5,0.5789473684210527,2026-03-05 20:39:31,,efficient_su2_12
2,3,efficient_su2_12_r2,efficient_su2,local,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,12,19,22,13,94,7.833333333333333,0.23404255319148937,2026-03-05 20:39:31,,efficient_su2_12_r2
3,4,efficient_su2_16,efficient_su2,local,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,16,33,120,29,184,11.5,0.6521739130434783,2026-03-05 20:39:31,,efficient_su2_16
4,5,efficient_su2_8,efficient_su2,local,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,8,27,56,21,104,13.0,0.5384615384615384,2026-03-05 20:39:31,,efficient_su2_8
5,6,W-state,feynman,local,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,3,6,2,2,9,3.0,0.2222222222222222,2026-03-05 20:39:31,,W-state
6,7,adder,feynman,local,benchmarks/ai_transpile/qasm/feynman/adder.qasm,10,11,1,0,19,1.9,0.05263157894736842,2026-03-05 20:39:31,,adder
7,8,barenco_tof_10,feynman,local,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,19,98,0,0,130,6.842105263157895,0.0,2026-03-05 20:39:31,,barenco_tof_10
8,9,barenco_tof_3,feynman,local,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,5,14,0,0,20,4.0,0.0,2026-03-05 20:39:31,,barenco_tof_3
9,10,barenco_tof_4,feynman,local,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,7,26,0,0,34,4.857142857142857,0.0,2026-03-05 20:39:32,,barenco_tof_4
