id,opt_chain,parent_circuit_id,parent_circuit,parent_path,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds
0,efficient_su2_10_r2__qiskit_ai,1,efficient_su2_10_r2,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,1,qiskit_ai,N/A,N/A,N/A,10,17,18,78,0,0,0,0,0.0
1,efficient_su2_10_r2__qiskit_standard,1,efficient_su2_10_r2,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,1,qiskit_standard,N/A,N/A,N/A,10,17,18,78,0,0,0,0,0.0
2,efficient_su2_10_r2__tket,1,efficient_su2_10_r2,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,1,tket,N/A,N/A,N/A,10,17,18,78,0,0,0,0,0.0
3,efficient_su2_10_r2__wisq_rules,1,efficient_su2_10_r2,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,1,wisq_rules,N/A,N/A,N/A,10,17,18,78,0,0,0,0,0.0
4,efficient_su2_10_r2__wisq_bqskit,1,efficient_su2_10_r2,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,1,wisq_bqskit,N/A,N/A,N/A,10,17,18,78,0,0,0,0,0.0
5,efficient_su2_10_r2__qiskit_ai__qiskit_ai,0,efficient_su2_10_r2__qiskit_ai,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_ai,qiskit_ai,N/A,N/A,10,17,18,78,0,0,0,0,0.0
6,efficient_su2_10_r2__qiskit_ai__qiskit_standard,0,efficient_su2_10_r2__qiskit_ai,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_ai,qiskit_standard,N/A,N/A,10,17,18,78,0,0,0,0,0.0
7,efficient_su2_10_r2__qiskit_ai__tket,0,efficient_su2_10_r2__qiskit_ai,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_ai,tket,N/A,N/A,10,17,18,78,0,0,0,0,0.0
8,efficient_su2_10_r2__qiskit_ai__wisq_rules,0,efficient_su2_10_r2__qiskit_ai,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_ai,wisq_rules,N/A,N/A,10,17,18,78,0,0,0,0,0.0
9,efficient_su2_10_r2__qiskit_ai__wisq_bqskit,0,efficient_su2_10_r2__qiskit_ai,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_ai,wisq_bqskit,N/A,N/A,10,17,18,78,0,0,0,0,0.0
10,efficient_su2_10_r2__qiskit_standard__qiskit_ai,1,efficient_su2_10_r2__qiskit_standard,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_standard,qiskit_ai,N/A,N/A,10,17,18,78,0,0,0,0,0.0
11,efficient_su2_10_r2__qiskit_standard__qiskit_standard,1,efficient_su2_10_r2__qiskit_standard,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_standard,qiskit_standard,N/A,N/A,10,17,18,78,0,0,0,0,0.0
12,efficient_su2_10_r2__qiskit_standard__tket,1,efficient_su2_10_r2__qiskit_standard,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_standard,tket,N/A,N/A,10,17,18,78,0,0,0,0,0.0
13,efficient_su2_10_r2__qiskit_standard__wisq_rules,1,efficient_su2_10_r2__qiskit_standard,N/A,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,,2,qiskit_standard,wisq_rules,N/A,N/A,10,17,18,78,0,0,0,0,0.0
