id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
14,1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,1,qiskit_ai,,,,10,17,18,78,0,17,18,78,0.3294835146516561,efficient_su2_10_r2__qiskit_ai
23,1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,1,qiskit_standard,,,,10,17,18,78,0,11,18,18,0.9678046479821204,efficient_su2_10_r2__qiskit_standard
75,3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,1,qiskit_ai,,,,12,19,22,94,0,19,22,94,0.7542382050305605,efficient_su2_12_r2__qiskit_ai
84,3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,1,qiskit_standard,,,,12,19,22,94,0,13,22,22,0.3061561668291688,efficient_su2_12_r2__qiskit_standard
156,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,qiskit_ai,1,qiskit_ai,,,,3,6,2,9,0,6,3,9,0.1522230291739106,W-state__qiskit_ai
164,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,qiskit_standard,1,qiskit_standard,,,,3,6,2,9,0,27,6,42,0.0185136524960398,W-state__qiskit_standard
180,7,adder,7,adder,feynman,benchmarks/ai_transpile/qasm/feynman/adder.qasm,qiskit_ai,1,qiskit_ai,,,,10,11,1,19,0,2,2,11,0.2465541427955031,adder__qiskit_ai
201,8,barenco_tof_10,8,barenco_tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,qiskit_ai,1,qiskit_ai,,,,19,98,0,130,0,12,0,98,0.2299922136589884,barenco_tof_10__qiskit_ai
222,9,barenco_tof_3,9,barenco_tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,qiskit_ai,1,qiskit_ai,,,,5,14,0,20,0,8,0,16,0.1378706749528646,barenco_tof_3__qiskit_ai
243,10,barenco_tof_4,10,barenco_tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,qiskit_ai,1,qiskit_ai,,,,7,26,0,34,0,12,0,26,0.2075448622927069,barenco_tof_4__qiskit_ai
264,11,barenco_tof_5,11,barenco_tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,qiskit_ai,1,qiskit_ai,,,,9,38,0,50,0,12,0,38,0.2337133502587676,barenco_tof_5__qiskit_ai
281,12,bigadder,12,bigadder,feynman,benchmarks/ai_transpile/qasm/feynman/bigadder.qasm,qiskit_ai,1,qiskit_ai,,,,18,4,0,21,0,3,1,19,0.230952251702547,bigadder__qiskit_ai
302,13,csla_mux_3,13,csla_mux_3,feynman,benchmarks/ai_transpile/qasm/feynman/csla_mux_3.qasm,qiskit_ai,1,qiskit_ai,,,,15,24,20,70,0,19,24,64,0.4051706977188587,csla_mux_3__qiskit_ai
323,14,gf2^4_mult,14,gf2^4_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^4_mult.qasm,qiskit_ai,1,qiskit_ai,,,,12,31,3,65,0,15,3,49,0.2082478702068328,gf2^4_mult__qiskit_ai
344,15,gf2^5_mult,15,gf2^5_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^5_mult.qasm,qiskit_ai,1,qiskit_ai,,,,15,38,4,97,0,23,6,74,0.2558649918064475,gf2^5_mult__qiskit_ai
365,16,gf2^6_mult,16,gf2^6_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^6_mult.qasm,qiskit_ai,1,qiskit_ai,,,,18,47,5,135,0,19,5,99,0.2243333356454968,gf2^6_mult__qiskit_ai
386,17,grover_5,17,grover_5,feynman,benchmarks/ai_transpile/qasm/feynman/grover_5.qasm,qiskit_ai,1,qiskit_ai,,,,9,160,0,351,0,64,0,303,0.4666487360373139,grover_5__qiskit_ai
