id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
1,1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_rules,1,wisq_rules,,,,10,17,18,78,0,23,18,138,600.292814460583,efficient_su2_10_r2__wisq_rules
6,1,efficient_su2_10_r2,1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,1,tket,,,,10,17,18,78,0,11,18,18,1.4576959628611803,efficient_su2_10_r2__tket
36,2,efficient_su2_12,2,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,tket,1,tket,,,,12,25,66,114,0,29,66,162,2.1792615139856935,efficient_su2_12__tket
63,3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,wisq_rules,1,wisq_rules,,,,12,19,22,94,0,25,22,166,600.3798082927242,efficient_su2_12_r2__wisq_rules
67,3,efficient_su2_12_r2,3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,1,tket,,,,12,19,22,94,0,13,22,22,2.1907900338992476,efficient_su2_12_r2__tket
97,4,efficient_su2_16,4,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,tket,1,tket,,,,16,33,120,184,0,37,120,248,3.640612297691405,efficient_su2_16__tket
120,5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,wisq_rules,1,wisq_rules,,,,8,27,56,104,0,35,14,110,600.1447385530919,efficient_su2_8__wisq_rules
124,5,efficient_su2_8,5,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,1,tket,,,,8,27,56,104,0,33,56,152,2.0722172735258937,efficient_su2_8__tket
148,6,W-state,6,W-state,feynman,benchmarks/ai_transpile/qasm/feynman/W-state.qasm,tket,1,tket,,,,3,6,2,9,0,22,6,30,0.7771514542400837,W-state__tket
172,7,adder,7,adder,feynman,benchmarks/ai_transpile/qasm/feynman/adder.qasm,tket,1,tket,,,,10,11,1,19,0,119,61,170,1.3892954029142857,adder__tket
193,8,barenco_tof_10,8,barenco_tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,tket,1,tket,,,,19,98,0,130,0,428,178,588,2.736250908114016,barenco_tof_10__tket
214,9,barenco_tof_3,9,barenco_tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,tket,1,tket,,,,5,14,0,20,0,49,24,64,1.0557740414515138,barenco_tof_3__tket
235,10,barenco_tof_4,10,barenco_tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,tket,1,tket,,,,7,26,0,34,0,104,46,138,1.255885289050639,barenco_tof_4__tket
256,11,barenco_tof_5,11,barenco_tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,tket,1,tket,,,,9,38,0,50,0,158,68,213,1.5182240353897214,barenco_tof_5__tket
