id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
1,1,single_1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_rules,,,,10,17,18,78,0,23,18,138,efficient_su2_10_r2__wisq_rules
2,1,single_1,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_rules,,,,10,17,18,78,0,23,18,138,efficient_su2_10_r2__wisq_rules
3,1,single_2,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_bqskit,,,,10,17,18,78,0,45,13,73,efficient_su2_10_r2__wisq_bqskit
4,1,single_2,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_bqskit,,,,10,17,18,78,0,34,12,59,efficient_su2_10_r2__wisq_bqskit
5,1,single_2,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,wisq_bqskit,,,,10,17,18,78,0,27,12,45,efficient_su2_10_r2__wisq_bqskit
6,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
7,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
8,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
9,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
10,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
11,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
12,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
13,1,single_3,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,tket,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__tket
14,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
15,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
16,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
17,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
18,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
19,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
20,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
21,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
22,1,single_4,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_ai,,,,10,17,18,78,0,17,18,78,efficient_su2_10_r2__qiskit_ai
23,1,single_5,efficient_su2_10_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_10_r2.qasm,qiskit_standard,,,,10,17,18,78,0,11,18,18,efficient_su2_10_r2__qiskit_standard
